name,description
Children's Medical Ministries,"Provides free wheelchairs, rehabilitation equipment, food and clothing to children in despair in urban/rural America and developing countries."
"The Hole in the Wall Gang Fund, Inc.","Founded by Paul Newman, this nonprofit serves seriously ill children, bringing hope and healing through camp programs and its outreach program to children in hospitals."
Community Health Charities of Maryland,"Federation of health-focused charities. Your gift supports services, programs and research that impacts the health of your family and friends."
Susan G. Komen for the Cure - MD Affiliate,Primarily dedicated to breast health education and breast cancer screening and treatment programs at the community level.
Lutheran Mission Society of Maryland,"Serves 500 people daily through 9 compassion centers providing food, emergency assistance, health checks, and chaplaincy."
"McKim Community Association, Inc.","Provides activities and experiences that support the educational, recreational, social and civic development of children as they thrive to become productive adults."
University of Baltimore Foundation,"Provides financial support to the University of Baltimore supporting various programs across the university including scholarship, research, capital improvements and academic programming."
"Health Care for the Homeless, Inc.","Provides health-related services, education and advocacy to reduce the incidence and burdens of homelessness."
"My Sister's Circle, Inc.",A comprehensive relationship-based program designed to mentor girls from disadvantaged Baltimore neighborhoods during their challenging transition to middle school throughout high school and into college.
Diakon Lutheran Social Ministries,"Offers a range of services including Diakon KidzStuff child care and Diakon Kathryn's Kloset, providing much needed donated items to individuals and organizations in need."
St. Vincent De Paul of Baltimore,"Helping families build better futures with services that include food, clothing, shelter, housing, financial assistance, employment training and programs for children and youth."
Hospice and Palliative Care Network of Maryland,Promotes quality end-of-life care by educating the health care community and advocating for the rights and dignity of the terminally ill patient.
"Maryland 4-H Foundation, Inc. (The)","Manages the financial resources to support Maryland youth in reaching their fullest potential as competent, caring, responsible individuals through 4-H programs."
Justice Policy Institute,"Justice Policy Institute is a research, communications, and technical assistance organization that reduces the use of the justice system and promotes equitable and safe communities."
"Rob's Barbershop Community Foundation, Inc.",Raises funds to maintain barber/styling salons in shelters for the homeless and foster children.
"Court Appointed Special Advocate Program of Baltimore, Inc.","Provides volunteers to advocate for abused and neglected children, ensuring needed services are provided and safe, permanent homes are secured."
"Jobs, Housing and Recovery, Inc.","Serves homeless men in Baltimore with a continuum of services including an emergency homeless shelter, a residential drug recovery program and long-term supportive housing."
"Pickersgill, Inc.",A continuing care retirement community offering services for the elderly ranging from independent living through assisted living and skilled nursing care.
ALS Association - DC/MD/VA Chapter,"Improves the quality of life for people living with ALS, commonly known as Lou Gehrig's disease, and their families by providing free services."
Conservation Fund (The),"Nation's most effective and efficient conservation organization; protecting working landscapes, wildlife habitat, and historic and recreation sites with 97% of funds going directly to the mission."
"Women's Housing Coalition, Inc.","Provides housing, case management and other supportive services to homeless, disabled and very low-income women and their children. Assisting women since 1979."
Govans Ecumenical Development Corporation,"Provides affordable housing with supportive services, as well as food and emergency financial assistance to individuals and families in need in Baltimore."
"Farm Animal Reform Movement, Inc.","FARM fights the cruel treatment and slaughter of innocent farm animals, reducing environmental destruction and improving health un the United States and worldwide."
